"","gender","condtn","order","match","int_corr","samerace","age_o","race_o","pf_o_att","pf_o_sin","pf_o_int","pf_o_fun","pf_o_amb","pf_o_sha","dec_o","attr_o","sinc_o","intel_o","fun_o","amb_o","shar_o","like_o","prob_o","met_o","age","field_cd","race","imprace","imprelig","goal","date","go_out","career_c","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","exphappy","attr1_1","sinc1_1","intel1_1","fun1_1","amb1_1","shar1_1","attr2_1","sinc2_1","intel2_1","fun2_1","amb2_1","shar2_1","attr3_1","sinc3_1","fun3_1","intel3_1","amb3_1"
"4330","1","2",2,"0",-0.02,"0",26,"4",16.67,16.67,16.67,16.67,16.67,16.67,"0",6,6,6,6,6,6,6,6,2,27,"SocScie/Psych","2",3,5,"FunNightOut","SVRL/Year","1/Week","Academic/Research",9,5,3,8,5,5,6,4,4,9,2,6,7,5,7,2,2,5,20,20,15,25,10,10,30,20,5,25,10,10,5,8,7,8,7
"4614","0","2",10,"1",0.53,"0",27,"2",6.67,19.05,42.86,9.52,14.29,7.62,"1",9,8,8,6,4,5,7,6,2,29,"Education","4",6,9,"FunNightOut","2/Month","SVRL/Week","Academic/Research",8,2,7,10,7,7,8,2,7,8,7,8,9,7,7,9,8,4,10,47,16,12,3,12,35,15,8,20,2,20,7,9,8,9,5
"746","1","2",14,"0",0.35,"0",21,"4",30,5,30,15,15,5,"0",4,4,5,4,5,3,4,3,2,21,"Law","2",10,9,"FunNightOut","2/Month","SVRL/Week","Lawyer",8,5,3,6,3,4,3,3,3,3,7,4,6,3,5,4,2,5,15,20,15,30,5,15,10,15,20,20,25,10,5,8,6,8,7
"7532","0","2",11,"0",0.46,"0",23,"4",25,15,20,20,10,10,"0",4,7,6,4,6,7,8,7,2,23,"SocScie/Psych","2",8,9,"MeetNewPpl","2/Month","1/Week","Academic/Research",5,3,7,7,8,10,2,2,1,8,6,10,8,9,10,6,7,7,20,20,20,15,5,20,30,5,15,30,0,20,8,10,8,9,7
"4486","0","2",5,"0",0.08,"1",27,"2",19,13,18,18,10,22,"0",3,6,9,4,8,4,4,6,2,28,"Education","2",10,10,"FunNightOut","2/Month","2/Week","Academic/Research",4,5,2,8,8,7,6,5,9,9,9,8,7,8,10,9,7,3,15,20,35,15,5,10,50,0,10,30,0,10,8,9,6,10,9
"5701","1","2",9,"1",0.1,"1",27,"4",15,20,20,20,20,5,"1",5,8,9,7,9,7,7,3,2,25,"Business","4",10,7,"MeetNewPpl","1/Month","2/Week","Undecided",4,1,4,10,5,6,7,7,3,3,9,7,9,5,6,9,5,5,30,10,15,20,15,10,30,10,20,10,20,10,6,10,8,9,10
"7197","1","2",5,"0",0.3,"1",30,"4",15,15,25,10,15,20,"0",4,8,8,4,5,4,3,3,2,24,"English","4",1,1,"FunNightOut","1/Month","1/Week","Academic/Research",4,4,2,8,5,3,2,5,2,7,8,5,9,6,10,6,2,5,25,26,15,10,9,15,15,15,15,20,20,15,7,9,6,8,5
"6809","0","1",4,"0",-0.03,"0",33,"4",15,15,15,20,15,20,"0",8,8,8,6,5,5,6,7,2,27,"FineArts","2",3,3,"MeetNewPpl","AlmostNever","1/Week","Academic/Research",5,8,5,9,9,9,7,1,4,9,4,9,9,8,8,4,9,5,10,20,20,20,10,20,30,20,10,20,10,10,8,9,9,9,7
"1278","0","2",5,"0",0.74,"1",27,"4",20,20,20,20,10,10,"0",3,8,5,4,5,7,6,5,2,23,"Bio","4",4,1,"MeetNewPpl","AlmostNever","AlmostNever","Undecided",8,9,6,5,8,9,6,3,1,10,6,7,8,7,6,4,1,5,15,21,18,18,10,18,10,25,15,15,10,25,5,8,5,7,5
"6412","1","2",4,"0",0.16,"0",33,"1",20,20,20,15,15,10,"0",1,1,1,1,1,1,1,1,2,31,"Business","2",3,1,"FunNightOut","2/Month","2/Week","Banking/Consulting",1,1,6,6,7,5,1,1,3,10,1,6,6,3,7,1,1,4,10,20,40,10,10,10,20,10,10,30,10,20,7,8,4,10,8
"6546","0","2",9,"0",0.11,"1",26,"4",15,30,25,20,0,10,"0",2,6,4,3,4,5,3,1,2,27,"Education","4",5,8,"MeetNewPpl","AlmostNever","1/Week","Banking/Consulting",10,9,7,10,10,10,10,5,4,10,7,7,5,8,10,10,3,7,15,15,25,15,15,15,50,10,10,10,10,10,7,10,7,9,10
"4532","0","2",5,"0",0.62,"0",30,"2",50,0,20,20,0,10,"0",5,8,8,7,6,4,6,8,2,24,"SocialWork","4",1,1,"MeetNewPpl","SVRL/Year","2/Week","Academic/Research",7,1,7,8,9,8,9,4,9,9,6,7,9,7,9,5,4,5,10,40,10,20,10,10,40,10,10,10,10,20,6,9,9,8,9
"7594","0","2",16,"0",0.27,"0",32,"2",50,0,10,30,0,10,"0",3,4,5,4,5,6,5,5,2,30,"FineArts","3",1,1,"ToSayIDidIt","1/Month","1/Week","Entertainment",2,1,9,9,6,8,4,1,2,9,3,10,8,4,4,3,9,3,15,20,20,20,5,10,30,20,15,15,10,10,8,9,7,9,7
"7822","0","2",14,"0",0.05,"0",30,"2",35,10,20,25,5,5,"1",5,6,7,7,6,6,6,6,2,24,"SocialWork","6",5,5,"FunNightOut","2/Month","1/Week","SocialWork",5,5,1,8,7,7,6,2,7,6,6,8,7,8,8,7,6,1,50,20,10,5,10,5,70,5,5,5,10,5,10,10,10,10,10
"2627","0","2",10,"0",-0.44,"1",31,"2",17.78,17.78,17.78,17.78,13.33,15.56,"0",5,5,5,4,3,5,5,2,2,24,"SocScie/Psych","2",9,9,"GetADate","1/Week","2/Week","Psychologist",8,6,6,9,6,6,4,8,7,9,9,6,9,5,7,9,4,7,16,16,20,16,18,14,20,12,16,20,14,18,9,10,8,10,10
"5305","0","2",3,"0",0.51,"1",27,"2",40,0,10,50,0,0,"0",7,7,6,2,4,3,4,10,2,27,"SocScie/Psych","2",2,4,"FunNightOut","AlmostNever","2/Week","Psychologist",10,9,8,10,8,5,7,1,5,8,9,8,9,7,10,5,6,4,15,25,20,20,0,20,50,0,20,25,0,5,7,10,8,9,6
